Country;Sector;Product CN Code;Description;2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up)
Algeria;Iron and steel;72192400;Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of < 3 mm;3,63;3,96;4,29
Algeria;Iron and steel;72193100;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 4,75 mm";3,63;3,96;4,29
Algeria;Iron and steel;721932;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 3 mm but < 4,75 mm";3,63;3,96;4,29
Algeria;Iron and steel;721933;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of > 1 mm but < 3 mm";3,63;3,96;4,29
Algeria;Iron and steel;721934;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 0,5 mm but <= 1 mm";3,63;3,96;4,29
Algeria;Iron and steel;721935;"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of < 0,5 mm";3,63;3,96;4,29
Algeria;Iron and steel;721990;"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked";3,63;3,96;4,29
Algeria;Iron and steel;7220;"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced""";3,63;3,96;4,29
Algeria;Iron and steel;72201100;Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of >= 4,75 mm;3,63;3,96;4,29
Algeria;Iron and steel;72201200;Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of < 4,75 mm;3,63;3,96;4,29
Algeria;Iron and steel;722020;"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced""";3,63;3,96;4,29
Algeria;Iron and steel;722090;"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked";3,63;3,96;4,29
Algeria;Iron and steel;7221;Bars and rods of stainless steel, hot-rolled, in irregularly wound coils;3,63;3,96;4,29
Algeria;Iron and steel;7222;"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s.";3,63;3,96;4,29
Algeria;Iron and steel;722211;Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of circular cross-section;3,63;3,96;4,29
Algeria;Iron and steel;722219;Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only extruded (excl. of circular cross-section);3,63;3,96;4,29
Algeria;Iron and steel;722220;Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished;3,63;3,96;4,29
Algeria;Iron and steel;722230;Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or not further worked than forged, or forged, or hot-formed by other means and further worked, n.e.s.;3,63;3,96;4,29
Algeria;Iron and steel;722240;Angles, shapes and sections of stainless steel, n.e.s.;3,63;3,96;4,29
Algeria;Iron and steel;7223;Wire of stainless steel, in coils (excl. bars and rods);3,63;3,96;4,29
Algeria;Iron and steel;722300;Wire of stainless steel, in coils (excl. bars and rods);3,63;3,96;4,29
Algeria;Iron and steel;7224;Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products of alloy steel other than stainless (excl. waste and scrap in ingot form, and products obtained by continuous casting);3,751;4,092;4,433
Algeria;Iron and steel;722410;Steel, alloy, other than stainless, in ingots or other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting);3,751;4,092;4,433
Algeria;Iron and steel;72249002;Semi-finished products of tool steel;3,751;4,092;4,433
Algeria;Iron and steel;72249003;Semi-finished products of high-speed steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting the width measuring < twice the thickness;3,751;4,092;4,433
Algeria;Iron and steel;72249005;Semi-finished products of steel containing by weight <= 0,7% of carbon, 0,5% to 1,2% of manganese, 0,6% to 2,3% of silicon, or of steel containing by weight >= 0,0008% of boron with any other element < the minimum content referred to in Note 1 f to chapter 72, of square or rectangular cross-section, hot rolled or obtained by continuous casting, the width measuring < twice the thickness;3,751;4,092;4,433
Algeria;Iron and steel;72249007;Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring < twice the thickness (excl. of tool steel, high-speed steel and articles of subheading 7224.90.05);3,751;4,092;4,433
Algeria;Iron and steel;72249014;Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring >= twice the thickness (excl. of tool steel);3,751;4,092;4,433
Algeria;Iron and steel;72249018;Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, forged (excl. of tool steel);3,751;4,092;4,433
Algeria;Iron and steel;72249031;Semi-finished products of steel containing by weight 0,9% to 1,15% carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting;3,751;4,092;4,433
Algeria;Iron and steel;72249038;Semi-finished products of alloy steel, other than stainless steel, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting (excl. of tool steel and products containing by weight 0,9% to 1,15% of carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum);3,751;4,092;4,433
Algeria;Iron and steel;72249090;Semi-finished products of alloy steel, other than stainless steel, forged (excl. of tool steel and products of square or rectangular, circular or polygamol cross-section);3,751;4,092;4,433
Algeria;Iron and steel;7225;"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""";4,972;5,424;5,876
Algeria;Iron and steel;72251100;Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented;4,972;5,424;5,876
Algeria;Iron and steel;72251910;Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, hot-rolled;3,751;4,092;4,433
Algeria;Iron and steel;72251990;"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", non-grain-oriented";3,751;4,092;4,433
