Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
New Zealand,Iron and steel,7201,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms",2.31,,2.31,2.541,2.772,3.003, 
New Zealand,Iron and steel,720211,"Ferro-manganese, containing by weight > 2% of carbon",,,,,,, 
New Zealand,Iron and steel,720219,"Ferro-manganese, containing by weight <= 2% carbon",,,,,,, 
New Zealand,Iron and steel,720241,"Ferro-chromium, containing by weight > 4% of carbon",,,,,,, 
New Zealand,Iron and steel,720249,"Ferro-chromium, containing by weight <= 4% of carbon",,,,,,, 
New Zealand,Iron and steel,72026000,Ferro-nickel,,,,,,, 
New Zealand,Iron and steel,7203,"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99,94%, in lumps, pellets or similar forms",,,,,,,
New Zealand,Iron and steel,7205,"Granules and powders of pig iron, spiegeleisen, iron or steel (excl. granules and powders of ferro-alloys, turnings and filings of iron or steel, radioactive iron powders ""isotopes"" and certain low-calibre, substandard balls for ballbearings)",2.32,,2.32,2.552,2.784,3.016,(C)
New Zealand,Iron and steel,7206,"Iron and non-alloy steel in ingots or other primary forms (excl. remelting scrap ingots, products obtained by continuous casting and iron of heading 7203)",,,,see below,see below,see below,
New Zealand,Iron and steel,72061000,"Ingots, of iron and non-alloy steel (excl. remelted scrap ingots, continuous cast products, iron of heading 7203)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72069000,"Iron and non-alloy steel, in puddled bars or other primary forms (excl. ingots, remelted scrap ingots, continuous cast products, iron of heading 7203)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7207,Semi-finished products of iron or non-alloy steel,,,,see below,see below,see below,
New Zealand,Iron and steel,72071111,"Semi-finished products, of non-alloy free-cutting steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72071114,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of <= 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72071116,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness of > 130 mm, rolled or obtained by continuous casting (excl. free-cutting steel)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72071190,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular cross-section, the width < twice the thickness, forged",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72071210,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72071290,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of rectangular ""other than square"" cross-section, the width >= twice the thickness, forged",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72071912,"Semi-finished products, of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72071919,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon, of circular or polygonal cross-section, forged",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72071980,"Semi-finished products of iron or non-alloy steel, containing by weight < 0,25% carbon (excl. semi-products, of square, rectangular, circular or polygonal cross-section)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072011,"Semi-finished products, of non-alloy free-cutting steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072015,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% but < 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072017,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of square or rectangular cross-section, the width < twice the thickness, rolled or obtained by continuous casting (excl. free-cutting steel)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072019,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of square or rectangular cross-section, the width < twice the thickness, forged",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072032,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25 of carbon, of rectangular ""other than square"" cross-section, the width measuring >= twice the thickness, rolled or obtained by continuous casting",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072039,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of rectangular ""other than square"" cross-section and the width >= twice the thickness, forged",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072052,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon, of circular or polygonal cross-section, rolled or obtained by continuous casting",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072059,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,6% carbon, of circular or polygonal cross-section, forged",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72072080,"Semi-finished products of iron or non-alloy steel, containing by weight >= 0,25% carbon (excl. those of square, rectangular, circular or polygonal cross-section)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7208,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled, not clad, plated or coated",2.42,,2.42,2.662,2.904,3.146,(C)
New Zealand,Iron and steel,7209,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", not clad, plated or coated",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,7210,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,7211,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", not clad, plated or coated",,,,see below,see below,see below,
New Zealand,Iron and steel,72111300,"Flat-rolled products of iron or non-alloy steel, simply hot-rolled on four faces or in a closed box pass, not clad, plated or coated, of a width of > 150 mm but < 600 mm and a thickness of >= 4 mm, not in coils, without patterns in relief, commonly known as ""wide flats""",2.42,,2.42,2.662,2.904,3.146,(C)
New Zealand,Iron and steel,72111400,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, not further worked than hot-rolled, not clad, plated or coated, of a thickness of >= 4,75 mm (excl. ""wide flats"")",2.42,,2.42,2.662,2.904,3.146,(C)
New Zealand,Iron and steel,72111900,"Flat-rolled products of iron or non-alloy steel, of a width < 600 mm, simply hot-rolled, not clad, plated or coated, of a thickness < 4,75 mm (excl. ""wide flats"")",2.42,,2.42,2.662,2.904,3.146,(C)
New Zealand,Iron and steel,721123,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight < 0,25% of carbon",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,72112900,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, simply cold-rolled ""cold-reduced"", not clad, plated or coated, containing by weight >= 0,25% of carbon",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,721190,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked, but not clad, plated or coated",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,7212,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,7213,"Bars and rods of iron or non-alloy steel, hot-rolled, in irregularly wound coils",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7214,"Bars and rods, of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn or hot-extruded, but incl. those twisted after rolling (excl. in irregularly wound coils)",,,,see below,see below,see below,
New Zealand,Iron and steel,72141000,"Bars and rods, of iron or non-alloy steel, not further worked than forged (excl. in irregularly wound coils)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72142000,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations produced during the rolling process",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,72143000,"Bars and rods, of non-alloy free-cutting steel, not further worked than hot-rolled, hot-drawn or hot-extruded (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,721491,"Bars and rods, of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, of rectangular ""other than square"" cross-section (excl. containing indentations, ribs, grooves or other deformations produced during the rolling process, bars and rods twisted after rolling and free-cutting steel)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,721499,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded (excl. of rectangular [other than square] cross-section and those containing indentations, ribs, grooves or other deformations produced during the rolling process, and of non-alloy free-cutting steel)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7215,"Bars and rods, of iron or non-alloy steel, cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked, n.e.s.",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7216,"Angles, shapes and sections of iron or non-alloy steel, n.e.s.",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7217,"Wire of iron or non-alloy steel, in coils (excl. bars and rods)",,,,see below,see below,see below,
New Zealand,Iron and steel,721710,"Wire of iron or non-alloy steel, in coils, not plated or coated, whether or not polished (excl. bars and rods)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,721720,"Wire of iron or non-alloy steel, in coils, plated or coated with zinc (excl. bars and rods)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,721730,"Wire of iron or non-alloy steel, in coils, plated or coated with base metals (excl. plated or coated with zinc, and bars and rods)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,721790,"Wire of iron or non-alloy steel, in coils, plated or coated (excl. plated or coated with base metals, and bars and rods)",2.41,,2.41,2.651,2.892,3.133,(C)
New Zealand,Iron and steel,7218,Stainless steel in ingots or other primary forms (excl. remelting scrap ingots and products obtained by continuous casting); semi-finished products of stainless steel,,,,see below,see below,see below, 
New Zealand,Iron and steel,72181000,"Steel, stainless, in ingots and other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting)",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,721891,"Semi-finished products of stainless steel, of rectangular ""other than square"" cross-section",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,72189911,"Semi-finished products of stainless steel, of square cross-section, rolled or obtained by continuous casting",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,72189919,"Semi-finished products of stainless steel, of square cross-section, forged",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,72189920,"Semi-finished products of stainless steel, of circular cross-section or of cross-section other than square or rectangular, rolled or obtained by continuous casting",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,72189980,"Semi-finished products of stainless steel, forged (excl. products of square or rectangular cross-section)",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,7219,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,see below,see below,see below, 
New Zealand,Iron and steel,72191100,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of > 10 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,721912,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,721913,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 3 mm and < 4,75 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,721914,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of < 3 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of > 10 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,721922,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 4,75 mm and <= 10 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,72192300,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 3 mm and < 4,75 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,72192400,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of < 3 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,72193100,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 4,75 mm",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,721932,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 3 mm but < 4,75 mm",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,721933,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of > 1 mm but < 3 mm",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,721934,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 0,5 mm but <= 1 mm",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,721935,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of < 0,5 mm",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,721990,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,7220,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,see below,see below,see below, 
New Zealand,Iron and steel,72201100,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of >= 4,75 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,72201200,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of < 4,75 mm",3.38,,3.38,3.718,4.056,4.394, 
New Zealand,Iron and steel,722020,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced""",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked",3.39,,3.39,3.729,4.068,4.407, 
New Zealand,Iron and steel,7221,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,7222,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s.",,,,see below,see below,see below, 
New Zealand,Iron and steel,722211,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of circular cross-section",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,722219,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only extruded (excl. of circular cross-section)",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,722220,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,722230,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or not further worked than forged, or forged, or hot-formed by other means and further worked, n.e.s.",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,722240,"Angles, shapes and sections of stainless steel, n.e.s.",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,7223,"Wire of stainless steel, in coils (excl. bars and rods)",,,,see below,see below,see below, 
New Zealand,Iron and steel,722300,"Wire of stainless steel, in coils (excl. bars and rods)",3.36,,3.36,3.696,4.032,4.368, 
New Zealand,Iron and steel,7224,"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products of alloy steel other than stainless (excl. waste and scrap in ingot form, and products obtained by continuous casting)",,,,see below,see below,see below, 
New Zealand,Iron and steel,722410,"Steel, alloy, other than stainless, in ingots or other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,72249002,Semi-finished products of tool steel,3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,72249003,"Semi-finished products of high-speed steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting the width measuring < twice the thickness",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,72249005,"Semi-finished products of steel containing by weight <= 0,7% of carbon, 0,5% to 1,2% of manganese, 0,6% to 2,3% of silicon, or of steel containing by weight >= 0,0008% of boron with any other element < the minimum content referred to in Note 1 f to chapter 72, of square or rectangular cross-section, hot rolled or obtained by continuous casting, the width measuring < twice the thickness",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,72249007,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring < twice the thickness (excl. of tool steel, high-speed steel and articles of subheading 7224.90.05)",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,72249014,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting, the width measuring >= twice the thickness (excl. of tool steel)",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,72249018,"Semi-finished products of alloy steel other than stainless steel, of square or rectangular cross-section, forged (excl. of tool steel)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,72249031,"Semi-finished products of steel containing by weight 0,9% to 1,15% carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,72249038,"Semi-finished products of alloy steel, other than stainless steel, cut into shapes other than square or rectangular, hot-rolled or obtained by continuous casting (excl. of tool steel and products containing by weight 0,9% to 1,15% of carbon, 0,5% to 2% of chromium and, if present, <= 0,5% of molybdenum)",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,72249090,"Semi-finished products of alloy steel, other than stainless steel, forged (excl. of tool steel and products of square or rectangular, circular or polygamol cross-section)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,7225,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,see below,see below,see below, 
New Zealand,Iron and steel,72251100,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, grain-oriented",4.66,,4.66,5.126,5.592,6.058,(C)
New Zealand,Iron and steel,72251910,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, hot-rolled",3.52,,3.52,3.872,4.224,4.576,(C)
New Zealand,Iron and steel,72251990,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, cold-rolled ""cold-reduced"", non-grain-oriented",3.53,,3.53,3.883,4.236,4.589,(F)
New Zealand,Iron and steel,722530,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, in coils (excl. products of silicon-electrical steel)",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,722540,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than hot-rolled, not in coils (excl. products of silicon-electrical steel)",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of silicon-electrical steel)",3.53,,3.53,3.883,4.236,4.589,(F)
New Zealand,Iron and steel,72259100,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and electrolytically plated or coated with zinc (excl. products of silicon-electrical steel)",3.53,,3.53,3.883,4.236,4.589,(F)
New Zealand,Iron and steel,72259200,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and plated or coated with zinc (excl. electrolytically plated or coated and products of silicon-electrical steel)",3.53,,3.53,3.883,4.236,4.589,(F)
New Zealand,Iron and steel,72259900,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. plated or coated with zinc and products of silicon-electrical steel)",3.53,,3.53,3.883,4.236,4.589,(F)
New Zealand,Iron and steel,7226,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced""",,,,see below,see below,see below, 
New Zealand,Iron and steel,72261100,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"", grain-oriented",4.66,,4.66,5.126,5.592,6.058,(C)
New Zealand,Iron and steel,72261910,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, not further worked than hot-rolled",3.52,,3.52,3.872,4.224,4.576,(C)
New Zealand,Iron and steel,72261980,"Flat-rolled products of silicon-electrical steel, of a width of < 600 mm, cold-rolled ""cold-reduced"", whether or not further worked, or hot-rolled and further worked, non-grain-oriented",3.53,,3.53,3.883,4.236,4.589,(F)
New Zealand,Iron and steel,72262000,"Flat-rolled products of high-speed steel, of a width of <= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,722691,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than hot-rolled (excl. products of high-speed steel or silicon-electrical steel)",3.52,,3.52,3.872,4.224,4.576,(F)
New Zealand,Iron and steel,72269200,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"" (excl. products of high-speed steel or silicon-electrical steel)",3.53,,3.53,3.883,4.236,4.589,(F)
New Zealand,Iron and steel,722699,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked (excl. products of high-speed steel or silicon-electrical steel)",3.53,,3.53,3.883,4.236,4.589,(F)
New Zealand,Iron and steel,7227,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils",3.5,,3.5,3.85,4.2,4.55,(C)/(F)
New Zealand,Iron and steel,7228,"Other bars and rods of alloy steel other than stainless, angles, shapes and sections of alloy steel other than stainless, n.e.s.; hollow drill bars and rods, of alloy or non-alloy steel",,,,see below,see below,see below, 
New Zealand,Iron and steel,72281020,"Bars and rods of high-speed steel, not further worked than hot-rolled, hot-drawn or extruded, and hot-rolled, hot-drawn or extruded, not further worked than clad (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,72281050,"Bars and rods of high-speed steel, forged (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,72281090,"Bars and rods of high-speed steel, not further worked than cold-formed or cold-finished, whether or not further worked, or hot-formed and further worked (excl. forged products, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,722820,"Bars and rods of silico-manganese steel (excl. semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,722830,"Bars and rods of alloy steel other than stainless, not further worked than hot-rolled, hot-drawn or extruded (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.5,,3.5,3.85,4.2,4.55,(C)/(F)
New Zealand,Iron and steel,722840,"Bars and rods of alloy steel other than stainless, not further worked than forged (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,722850,"Bars and rods of alloy steel other than stainless, not further worked than cold-formed or cold-finished (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.5,,3.5,3.85,4.2,4.55,(C)/(F)
New Zealand,Iron and steel,722860,"Bars and rods of alloy steel other than stainless, cold-formed or cold-finished and further worked or hot-formed and further worked, n.e.s. (excl. products of high-speed steel or silico-manganese steel, semi-finished products, flat-rolled products and hot-rolled bars and rods in irregularly wound coils)",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,722870,"Angles, shapes and sections of alloy steel other than stainless, n.e.s.",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,72288000,"Hollow drill bars and rods, of alloy or non-alloy steel",3.5,,3.5,3.85,4.2,4.55,(F)
New Zealand,Iron and steel,7229,"Wire of alloy steel other than stainless, in coils (excl. bars and rods)",3.5,,3.5,3.85,4.2,4.55,(C)/(F)
New Zealand,Iron and steel,7301,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel",2.43,,2.43,2.673,2.916,3.159,(C)
New Zealand,Iron and steel,7302,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers ""cross-ties"", fish-plates, chairs, chair wedges, sole plates ""base plates"", rail clips, bedplates, ties and other material specialised for jointing or fixing rails",3.06,,3.06,3.366,3.672,3.978,(C)
New Zealand,Iron and steel,7303,"Tubes, pipes and hollow profiles, of cast iron",,,,see below,see below,see below, 
New Zealand,Iron and steel,730300,"Tubes, pipes and hollow profiles, of cast iron",2.31,,2.31,2.541,2.772,3.003, 
New Zealand,Iron and steel,7304,"Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",,,,see below,see below,see below, 
New Zealand,Iron and steel,73041100,"Line pipe of a kind used for oil or gas pipelines, seamless, of stainless steel",3.36,,3.36,3.696,4.032,4.368, 
