Country,Sector,Product CN Code,Description,Default Value (direct emissions),Default Value (Indirect emissions),Default Value (total emissions),2026 Default Value (Including mark-up),2027 Default Value (Including mark-up),2028 Default Value (Including mark-up),Underlying production route determining CBAM BM
Algeria,Fertilisers,31029000,Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg),1.49,0.09,1.58,1.596,1.596,1.596,
Algeria,Fertilisers,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium",,,,see below,see below,see below,
Algeria,Fertilisers,31051000,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg",0.73,0.08,0.81,0.818,0.818,0.818,
Algeria,Fertilisers,31052010,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.97,0.09,1.06,1.071,1.071,1.071,
Algeria,Fertilisers,31052090,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.66,0.07,0.72,0.727,0.727,0.727,
Algeria,Fertilisers,31053000,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.46,0.05,0.51,0.515,0.515,0.515,
Algeria,Fertilisers,31054000,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",0.29,0.04,0.34,0.343,0.343,0.343,
Algeria,Fertilisers,31055100,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (nitrates and phosphates),1.33,0.11,1.44,1.454,1.454,1.454,
Algeria,Fertilisers,31055900,Other mineral or chemical fertilisers containing the two fertilising elements nitrogen and phosphorus (excl. nitrates and phosphates),0.52,0.09,0.61,0.616,0.616,0.616,
Algeria,Fertilisers,31059020,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)",1.31,0.07,1.38,1.394,1.394,1.394,
